,date,USDRUS_TOM_close,time,EURRUS_TOM_close,CNYRUS_TOM_close
0,2014-01-06,33.18,10:00:00,45.075,5.4877
1,2014-01-06,33.225,11:00:00,45.15,5.4877
2,2014-01-06,33.198,12:00:00,45.1005,5.4877
3,2014-01-06,33.186,13:00:00,45.175,5.4877
4,2014-01-06,33.185,14:00:00,45.201,5.4877
5,2014-01-06,33.209,15:00:00,45.1735,5.4877
6,2014-01-06,33.2655,16:00:00,45.2635,5.4877
7,2014-01-06,33.275,17:00:00,45.278,5.4877
8,2014-01-06,33.2475,18:00:00,45.2855,5.4877
9,2014-01-06,33.2365,20:00:00,45.303,5.4877
10,2014-01-06,33.25,21:00:00,45.3405,5.4877
11,2014-01-06,33.19,22:00:00,45.324,5.4877
12,2014-01-06,33.2125,23:00:00,45.312,5.4877
13,2014-01-08,33.084,10:00:00,45.099,5.4877
14,2014-01-08,33.105,11:00:00,45.1085,5.4877
15,2014-01-08,33.1385,12:00:00,45.11,5.4877
16,2014-01-08,33.107,13:00:00,45.0475,5.4877
17,2014-01-08,33.1425,14:00:00,45.02,5.4877
18,2014-01-08,33.1425,15:00:00,45.009,5.4877
19,2014-01-08,33.11,16:00:00,45.0115,5.4877
20,2014-01-08,33.13,17:00:00,45.029,5.4877
21,2014-01-08,33.1375,18:00:00,45.0375,5.4877
22,2014-01-08,33.1465,19:00:00,45.1,5.4877
23,2014-01-08,33.1935,23:00:00,45.1215,5.4877
24,2014-01-09,33.1655,10:00:00,45.0875,5.4877
25,2014-01-09,33.08,11:00:00,44.995,5.475
26,2014-01-09,33.103,12:00:00,45.0525,5.477
27,2014-01-09,33.1075,13:00:00,45.0655,5.482
28,2014-01-09,33.1305,14:00:00,45.095,5.482
29,2014-01-09,33.16,15:00:00,45.1045,5.482
30,2014-01-09,33.15,16:00:00,45.1195,5.482
31,2014-01-09,33.2405,17:00:00,45.114,5.482
32,2014-01-09,33.205,18:00:00,45.0615,5.482
33,2014-01-09,33.23,19:00:00,45.138,5.482
34,2014-01-09,33.23,20:00:00,45.1605,5.482
35,2014-01-09,33.233,21:00:00,45.125,5.482
36,2014-01-09,33.2395,22:00:00,45.165,5.482
37,2014-01-09,33.234,23:00:00,45.175,5.482
38,2014-01-10,33.2225,10:00:00,45.215,5.482
39,2014-01-10,33.2425,11:00:00,45.246,5.504
40,2014-01-10,33.2625,12:00:00,45.2625,5.505
41,2014-01-10,33.2825,13:00:00,45.255,5.515
42,2014-01-10,33.277,14:00:00,45.23,5.515
43,2014-01-10,33.2445,15:00:00,45.2045,5.515
44,2014-01-10,33.212,16:00:00,45.1405,5.515
45,2014-01-10,33.156,17:00:00,45.2305,5.515
46,2014-01-10,33.0885,18:00:00,45.25,5.515
